,id,match,date,home_red,home_yellow,home_team,home_goal,away_goal,away_team,away_yellow,away_red,home_goal_half,away_goal_half,main_bet,goals_bet,footGoal_bet,footGoal_home_half,footGoal_home,footGoal_away_half,footGoal_away,flag,f_home_goal_all_h_3,f_away_goal_all_h_3,f_home_yellow_all_h_3,f_home_red_all_h_3,f_away_yellow_all_h_3,f_away_red_all_h_3,f_flag_all_h_3,f_net_goal_all_h_3,f_net_yellow_all_h_3,f_date_all_h_3,f_diff_time_all_h_3
455,456,英超,17/08/19,0,1,伯恩茅斯,0,2,沃特福德,3,0,0,0,-0.5,2.5,10.5,3,8,1,5,1,2.6666666666666665,1.0,0.6666666666666666,0.0,1.3333333333333333,0.3333333333333333,1.0,0.45453305818932205,-0.3333166674999583,17/04/22,107.33333333333333
448,449,英超,17/08/26,0,5,伯恩茅斯,1,2,曼城,5,1,1,1,1.75,3.25,11.0,1,2,2,5,1,1.3333333333333333,1.6666666666666667,1.0,0.0,1.3333333333333333,0.0,1.0,-0.11110740753086013,-0.14285102067054267,17/05/06,74.66666666666667
428,429,英超,17/09/16,0,0,伯恩茅斯,2,1,布莱顿,0,0,0,0,-0.25,2.5,10.0,1,6,0,4,1,1.0,1.6666666666666667,2.0,0.0,3.0,0.3333333333333333,1.0,-0.24999062535154928,-0.1999960000799984,17/05/13,58.333333333333336
404,405,英超,17/09/30,0,1,伯恩茅斯,0,0,莱斯特,0,0,0,0,0.0,2.75,10.5,2,7,2,5,1,1.0,1.6666666666666667,2.0,0.0,2.6666666666666665,0.3333333333333333,1.0,-0.24999062535154928,-0.1428540816982493,17/08/19,30.333333333333332
372,373,英超,17/10/29,0,2,伯恩茅斯,0,1,切尔西,0,0,0,0,1.0,2.75,10.5,3,5,5,5,1,1.0,1.0,2.0,0.0,1.6666666666666667,0.3333333333333333,1.0,0.0,0.09090661163786438,17/08/26,45.333333333333336
357,358,英超,17/11/18,1,4,伯恩茅斯,4,0,哈德斯菲尔德,2,0,2,0,-0.75,2.25,10.5,6,8,5,11,1,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,0.9999000099990001,17/09/16,44.0
333,334,英超,17/11/30,0,0,伯恩茅斯,1,2,伯恩利,1,0,0,1,-0.25,2.25,10.5,2,4,6,6,1,1.3333333333333333,0.3333333333333333,2.3333333333333335,0.3333333333333333,0.6666666666666666,0.0,1.0,0.5999640021598704,0.5555370376543005,17/09/30,35.0
320,321,英超,17/12/03,0,2,伯恩茅斯,1,1,南安普顿,1,0,1,0,0.25,2.25,10.5,3,5,2,4,1,1.6666666666666667,1.0,2.0,0.3333333333333333,1.0,0.0,1.0,0.24999062535154928,0.3333222225925802,17/10/29,17.666666666666668
290,291,英超,17/12/18,0,1,伯恩茅斯,0,4,利物浦,1,0,0,3,1.25,3.25,10.5,1,2,2,3,1,2.0,1.0,2.0,0.3333333333333333,1.3333333333333333,0.0,1.0,0.3333222225925802,0.19999400017999464,17/11/18,21.0
276,277,英超,17/12/26,0,3,伯恩茅斯,3,3,西汉姆,4,0,1,1,-0.25,2.25,10.5,2,7,2,4,1,0.6666666666666666,2.3333333333333335,1.0,0.0,1.0,0.0,1.0,-0.5555370376543005,0.0,17/11/30,19.0
